
######## global 0x09E38920: 77 disp32 cands, 74 verified insns
  0x0123926B  fn 0x01239137..0x012392FA [read ] mov rax, qword ptr [rip + 0x8bff6be]
  0x0123935B  fn 0x01239310..0x012393BB [read ] mov rcx, qword ptr [rip + 0x8bff5ce]
  0x012393E2  fn 0x012393BB..0x01239428 [read ] mov rax, qword ptr [rip + 0x8bff547]
  0x0123948B  fn 0x01239440..0x012394EB [read ] mov rcx, qword ptr [rip + 0x8bff49e]
  0x01239512  fn 0x012394EB..0x01239558 [read ] mov rax, qword ptr [rip + 0x8bff417]
  0x012395B3  fn 0x01239570..0x01239617 [read ] mov rcx, qword ptr [rip + 0x8bff376]
  0x01239643  fn 0x01239625..0x01239681 [read ] mov rax, qword ptr [rip + 0x8bff2e6]
  0x0123D711  fn 0x0123D6CC..0x0123D841 [read ] mov rax, qword ptr [rip + 0x8bfb218]
  0x0123D760  fn 0x0123D6CC..0x0123D841 [read ] mov rax, qword ptr [rip + 0x8bfb1c9]
  0x0123D8F3  fn 0x0123D8B9..0x0123D9B8 [read ] mov rax, qword ptr [rip + 0x8bfb036]
  0x0123DDA7  fn 0x0123DD4A..0x0123DEF8 [read ] mov rax, qword ptr [rip + 0x8bfab82]
  0x0123DE3F  fn 0x0123DD4A..0x0123DEF8 [read ] mov rax, qword ptr [rip + 0x8bfaaea]
  0x0123E124  fn 0x0123E0E1..0x0123E3A4 [read ] mov rax, qword ptr [rip + 0x8bfa805]
  0x0123E420  fn 0x0123E3E5..0x0123E480 [read ] mov rax, qword ptr [rip + 0x8bfa509]
  0x0123E5A3  fn 0x0123E57C..0x0123E636 [read ] mov rax, qword ptr [rip + 0x8bfa386]
  0x0124A490  fn 0x0124A3E0..0x0124A708 [read ] mov r11, qword ptr [rip + 0x8bee499]
  0x0124A62D  fn 0x0124A3E0..0x0124A708 [read ] mov rax, qword ptr [rip + 0x8bee2fc]
  0x0124A7C0  fn 0x0124A710..0x0124AA38 [read ] mov r11, qword ptr [rip + 0x8bee169]
  0x0124A95D  fn 0x0124A710..0x0124AA38 [read ] mov rax, qword ptr [rip + 0x8bedfcc]
  0x0124AAE0  fn 0x0124AA40..0x0124AD82 [read ] mov r11, qword ptr [rip + 0x8bede49]
  0x0124ACB1  fn 0x0124AA40..0x0124AD82 [read ] mov rax, qword ptr [rip + 0x8bedc78]
  0x0124AE30  fn 0x0124AD90..0x0124B0D2 [read ] mov r11, qword ptr [rip + 0x8bedaf9]
  0x0124B001  fn 0x0124AD90..0x0124B0D2 [read ] mov rax, qword ptr [rip + 0x8bed928]
  0x0124E86E  fn 0x0124E210..0x0124F40E [read ] mov r11, qword ptr [rip + 0x8bea0bb]
  0x0124EA82  fn 0x0124E210..0x0124F40E [read ] mov rax, qword ptr [rip + 0x8be9ea7]
  0x0124F146  fn 0x0124E210..0x0124F40E [read ] mov r14, qword ptr [rip + 0x8be97e3]
  0x0124F32D  fn 0x0124E210..0x0124F40E [read ] mov rax, qword ptr [rip + 0x8be95fc]
  0x0124FA6E  fn 0x0124F410..0x0125060E [read ] mov r11, qword ptr [rip + 0x8be8ebb]
  0x0124FC82  fn 0x0124F410..0x0125060E [read ] mov rax, qword ptr [rip + 0x8be8ca7]
  0x01250346  fn 0x0124F410..0x0125060E [read ] mov r14, qword ptr [rip + 0x8be85e3]
  0x0125052D  fn 0x0124F410..0x0125060E [read ] mov rax, qword ptr [rip + 0x8be83fc]
  0x012557C6  fn 0x01255780..0x01255A4B [read ] mov rax, qword ptr [rip + 0x8be3163]
  0x01255891  fn 0x01255780..0x01255A4B [read ] mov rax, qword ptr [rip + 0x8be3098]
  0x01255926  fn 0x01255780..0x01255A4B [read ] mov rax, qword ptr [rip + 0x8be3003]
  0x012559B5  fn 0x01255780..0x01255A4B [read ] mov rax, qword ptr [rip + 0x8be2f74]
  0x01255A96  fn 0x01255A50..0x01255D1B [read ] mov rax, qword ptr [rip + 0x8be2e93]
  0x01255B61  fn 0x01255A50..0x01255D1B [read ] mov rax, qword ptr [rip + 0x8be2dc8]
  0x01255BF6  fn 0x01255A50..0x01255D1B [read ] mov rax, qword ptr [rip + 0x8be2d33]
  0x01255C85  fn 0x01255A50..0x01255D1B [read ] mov rax, qword ptr [rip + 0x8be2ca4]
  0x01257DFC  fn 0x01257D90..0x01257E21 [read ] mov rax, qword ptr [rip + 0x8be0b2d]
  0x01257E9D  fn 0x01257E30..0x01257ED5 [read ] mov rax, qword ptr [rip + 0x8be0a8c]
  0x0125BEE0  fn 0x0125B660..0x0125C310 [read ] mov rax, qword ptr [rip + 0x8bdca49]
  0x0125BF8B  fn 0x0125B660..0x0125C310 [read ] mov rax, qword ptr [rip + 0x8bdc99e]
