class,name,thunk_rva,verdict,new_vs_v1,note
ULokiBlueprintLibrary,AuthGrantGoldToActors,0x52E0990,REAL,no,impl 0x52E0990: 48895c24084889742418574883ec3033
ULokiBlueprintLibrary,AuthGrantGoldToTeam,0x52E0AC0,STRIPPED,no,wrapper-hides-stub 0x52E0AC0 -> call 0xF7EC20 -> fold: void_ret (c2 00 00)
ULokiBlueprintLibrary,AuthPlaySimpleGameplayCue,0x52E0C00,STRIPPED,no,wrapper-hides-stub 0x52E0C00 -> call 0xF7EC20 -> fold: void_ret (c2 00 00)
ULokiBlueprintLibrary,CheatsEnabled,0x51629C0,STRIPPED,no,wrapper-hides-stub 0x51629C0 -> call 0xF7EB60 -> fold: xor al;al; ret (LokiIsServer FALSE)
ULokiBlueprintLibrary,CheatsEnabledOnly,0x52E0D00,REAL,no,impl 0x52E0D00: 48895c2408574883ec2033ffc6442438
ULokiBlueprintLibrary,ClassIsA,0x52E0D90,REAL,no,impl 0x52E0D90: 48895c2408574883ec3033ff488bda48
ULokiBlueprintLibrary,ClassIsASoft,0x52E0EA0,REAL,no,impl 0x52E0EA0: 48895c2408488974241855574156488b
ULokiBlueprintLibrary,ClassIsASoftPure,0x52E1030,REAL,no,impl 0x52E1030: 48895c2408488974241855574156488b
ULokiBlueprintLibrary,ClassIsNotASoftPure,0x52E1170,REAL,no,impl 0x52E1170: 48895c2408488974241855574156488b
ULokiBlueprintLibrary,ClientOnly,0x52E12B0,REAL,no,impl 0x52E12B0: 48895c2408574883ec2033ff488bda48
ULokiBlueprintLibrary,ClientServerPreviewSplit,0x52E12B0,REAL,no,impl 0x52E12B0: 48895c2408574883ec2033ff488bda48
