path,file_size,streams,nmodules,game_base,game_size,nthreads,n_mem,n_mem64,n_ranges,bytes_captured,bytes_in_stacks,bytes_in_image,ranges_in_image,n_meminfo,meminfo_bytes,residual,max_range_end_rva,C1,C2,C4
dumps\crashpad-20260805-031232\reports\c9a85003-95c5-4ae8-86b4-918e2d6c66c2.dmp,43810800,3 4 5 6 7 12 14 15 16 24 1129316353,221,0x7ff681610000,0xa9e1000,137,725,0,725,40929098,40030208,0,0,44883,2154400,2881702,43810800,1,1,1
dumps\crashpad-20260805-143222-s110itemwatch\reports\b869ecda-0839-49e3-afad-da4159dcc675.dmp,41642480,3 4 5 6 7 12 14 15 16 24 1129316353,221,0x7ff681610000,0xa9e1000,123,696,0,696,38766162,37957632,0,0,45039,2161888,2876318,41642480,1,1,1
dumps\crashpad-20260805-173230\reports\b869ecda-0839-49e3-afad-da4159dcc675.dmp,41642480,3 4 5 6 7 12 14 15 16 24 1129316353,221,0x7ff681610000,0xa9e1000,123,696,0,696,38766162,37957632,0,0,45039,2161888,2876318,41642480,1,1,1
dumps\crashpad-20260805-173814-phase2-nostage\reports\e0d14d37-b8b6-4612-baa4-fc75d36f9113.dmp,41497664,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff681610000,0xa9e1000,128,705,0,705,38769338,37924864,0,0,43304,2078608,2728326,41497664,1,1,1
dumps\crashpad-20260805-173820\reports\e0d14d37-b8b6-4612-baa4-fc75d36f9113.dmp,41497664,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff681610000,0xa9e1000,128,705,0,705,38769338,37924864,0,0,43304,2078608,2728326,41497664,1,1,1
dumps\crashpad-20260805-174425-phase2b-void\reports\f350db65-12ce-4ce1-b8be-a7565eb59828.dmp,41569744,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff681610000,0xa9e1000,121,691,0,691,38686210,37883904,0,0,44567,2139232,2883534,41569744,1,1,1
dumps\crashpad-20260805-174431\reports\f350db65-12ce-4ce1-b8be-a7565eb59828.dmp,41569744,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff681610000,0xa9e1000,121,691,0,691,38686210,37883904,0,0,44567,2139232,2883534,41569744,1,1,1
dumps\crashpad-20260805-182113-animref-SUCCESS\reports\2432183f-4889-49ae-a673-da14cb8f617c.dmp,43740464,3 4 5 6 7 12 14 15 16 24 1129316353,221,0x7ff681610000,0xa9e1000,137,725,0,725,40884036,39985152,0,0,44543,2138080,2856428,43740464,1,1,1
dumps\crashpad-20260805-184433\reports\2432183f-4889-49ae-a673-da14cb8f617c.dmp,43740464,3 4 5 6 7 12 14 15 16 24 1129316353,221,0x7ff681610000,0xa9e1000,137,725,0,725,40884036,39985152,0,0,44543,2138080,2856428,43740464,1,1,1
dumps\crashpad-20260805-204616-s111-scanfix-run1\reports\4636381f-41f7-41f3-837f-9d95c5c58890.dmp,43578336,3 4 5 6 7 12 14 15 16 24 1129316353,221,0x7ff6505c0000,0xa9e1000,140,731,0,731,40898190,39981056,0,0,40835,1960096,2680146,43578336,1,1,1
dumps\crashpad-20260805-205350\reports\4636381f-41f7-41f3-837f-9d95c5c58890.dmp,43578336,3 4 5 6 7 12 14 15 16 24 1129316353,221,0x7ff6505c0000,0xa9e1000,140,731,0,731,40898190,39981056,0,0,40835,1960096,2680146,43578336,1,1,1
dumps\crashpad-20260805-205357-s111-scanfix-run2\reports\4636381f-41f7-41f3-837f-9d95c5c58890.dmp,43578336,3 4 5 6 7 12 14 15 16 24 1129316353,221,0x7ff6505c0000,0xa9e1000,140,731,0,731,40898190,39981056,0,0,40835,1960096,2680146,43578336,1,1,1
dumps\crashpad-20260805-205659-s111-VOID-concurrent\reports\4fb67c1c-0798-42b9-a8b2-0d4f1d1b669e.dmp,40874144,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,129,706,0,706,38691692,37847040,0,0,31640,1518736,2182452,40874144,1,1,1
dumps\crashpad-20260805-210129\reports\4fb67c1c-0798-42b9-a8b2-0d4f1d1b669e.dmp,40874144,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,129,706,0,706,38691692,37847040,0,0,31640,1518736,2182452,40874144,1,1,1
dumps\crashpad-20260805-230519-s111-oldNM3\reports\27b26cae-f366-463f-8d39-0a27ccc5fe0f.dmp,40898320,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,141,731,0,731,38950050,38027264,0,0,27247,1307872,1948270,40898320,1,1,1
dumps\crashpad-20260805-230636\reports\27b26cae-f366-463f-8d39-0a27ccc5fe0f.dmp,40898320,3 4 5 6 7 12 14 15 16 24 1129316353,220,0x7ff6505c0000,0xa9e1000,141,731,0,731,38950050,38027264,0,0,27247,1307872,1948270,40898320,1,1,1
