path,dir,va,declsize,filesize,sha256,mz,pe,allzero,nonzero,entropy,head16,insns,cov,invalid
../../../dumps\crash-20260819-200129\SUPERVIVE-Win64-Shipping.exec_0x1F699A00000_1000.bin,crash-20260819-200129,0x1f699a00000,0x1000,4096,07b94eed6a5e5c32d07b846c6db00460660939cdcc6335470e82a2342414842e,0,0,0,68,0.1951,48b900909f99f601000048ba96010000,2012,4096,0
../../../dumps\crash-20260819-200129\SUPERVIVE-Win64-Shipping.exec_0x7FF7B86C0000_1000.bin,crash-20260819-200129,0x7ff7b86c0000,0x1000,4096,4699e106f080f494e455af3412f77bb869bd0df3e9353d76bd21bce7829c4db7,0,0,0,47,0.1453,48895c2408e99b543501000000000000,2037,4096,0
../../../dumps\crash-20260819-200129\SUPERVIVE-Win64-Shipping.exec_0x7FFB52FE0000_1000.bin,crash-20260819-200129,0x7ffb52fe0000,0x1000,4096,fd8ee258c5aab1c9826f11acad06cecf4b093e61081abe5e30410c3a0846d63e,0,0,0,543,1.3222,4883ec48498bc1e99b10edffff250000,4,18,4078
../../../dumps\crash-20260819-200129\SUPERVIVE-Win64-Shipping.exec_0x7FFB54900000_F000.bin,crash-20260819-200129,0x7ffb54900000,0xf000,61440,cc360f8020a3a3cee19960d0926f0da7b34eb65fa03dc37f0d4e739fa2cdecb5,0,0,0,1212,0.2572,40555357488bece90bda2200ff250000,6,18,4078
../../../dumps\crash-20260819-200129\SUPERVIVE-Win64-Shipping.exec_0x7FFB57160000_D000.bin,crash-20260819-200129,0x7ffb57160000,0xd000,53248,22cb6e607b4fc5e5f1253d8041627f96d7eb121eb45f31bae34089a224694e4e,0,0,0,39488,5.6816,41c1c1034123c133c24103c3458b5a18,1275,4096,0
../../../dumps\crash-20260820-005902\SUPERVIVE-Win64-Shipping.exec_0x16543430000_10000.bin,crash-20260820-005902,0x16543430000,0x10000,65536,a485f170b98e8725a637e1723e721a4c1004183673e8f01734150a651100a45f,0,0,0,5935,0.9990,00000000000000000000000000000000,2048,4096,0
../../../dumps\crash-20260820-005902\SUPERVIVE-Win64-Shipping.exec_0x16543440000_10000.bin,crash-20260820-005902,0x16543440000,0x10000,65536,01cd719ebbe6c0f1e194cbbb14b1b271dac05ad553be401b271e5c5d3688c12e,0,0,0,45434,5.3140,3066cf6b957e00003600000000000000,959,4092,4
../../../dumps\crash-20260820-005902\SUPERVIVE-Win64-Shipping.exec_0x1654B4E0000_25000.bin,crash-20260820-005902,0x1654b4e0000,0x25000,151552,a2c6dce233f1923d1cc1369c87be0038d122d02253adc2dfdfa8153b694db05f,1,1,0,103655,6.2640,4d5a90000300000004000000ffff0000,6,12,4084
../../../dumps\crash-20260820-005902\SUPERVIVE-Win64-Shipping.exec_0x1654B540000_1000.bin,crash-20260820-005902,0x1654b540000,0x1000,4096,ce1c010c735ed475279029c042d4b59b914c9ae89604998539753a574702958c,0,0,0,68,0.1955,48b90020504b6501000048ba7d010000,2012,4096,0
../../../dumps\crash-20260820-005902\SUPERVIVE-Win64-Shipping.exec_0x1654B590000_1000.bin,crash-20260820-005902,0x1654b590000,0x1000,4096,afc97e29c70d7c0e068f2c106aafe6b453d1364dd4e79976353ed1c35aee50b9,0,0,0,68,0.1951,48b900906c4c6501000048ba96010000,2012,4096,0
../../../dumps\crash-20260820-005902\SUPERVIVE-Win64-Shipping.exec_0x1654C6A0000_2C000.bin,crash-20260820-005902,0x1654c6a0000,0x2c000,180224,ae2320c09122b13950acd0a68eb365cd2fec70e850b96a01b4a64834a0bce0be,1,1,0,122581,6.1828,4d5a90000300000004000000ffff0000,6,12,4084
../../../dumps\crash-20260820-005902\SUPERVIVE-Win64-Shipping.exec_0x7FF7C4040000_1000.bin,crash-20260820-005902,0x7ff7c4040000,0x1000,4096,3479a758bce8c18db9527d0a31838d86167cb895669429a0ccef51ff277339ef,0,0,0,47,0.1455,48895c2408e99b543501000000000000,2037,4096,0
../../../dumps\crash-20260820-005902\SUPERVIVE-Win64-Shipping.exec_0x7FFB52FE0000_1000.bin,crash-20260820-005902,0x7ffb52fe0000,0x1000,4096,3247fe036ec0c7489b19df765c98966f421121d065babc0c7bf78f8ab40cd38e,0,0,0,543,1.3221,4883ec48498bc1e99b10edffff250000,4,18,4078
../../../dumps\crash-20260820-005902\SUPERVIVE-Win64-Shipping.exec_0x7FFB54900000_F000.bin,crash-20260820-005902,0x7ffb54900000,0xf000,61440,9cfb86c233c7557c3ce23ea1788dc683f5616e82fe5c221b9d7255917d6f4b9f,0,0,0,1212,0.2577,40555357488bece90bda2200ff250000,6,18,4078
../../../dumps\crash-20260820-005902\SUPERVIVE-Win64-Shipping.exec_0x7FFB57160000_D000.bin,crash-20260820-005902,0x7ffb57160000,0xd000,53248,22cb6e607b4fc5e5f1253d8041627f96d7eb121eb45f31bae34089a224694e4e,0,0,0,39488,5.6816,41c1c1034123c133c24103c3458b5a18,1275,4096,0
../../../dumps\crash-20260820-021637\SUPERVIVE-Win64-Shipping.exec_0x2B17CDE0000_10000.bin,crash-20260820-021637,0x2b17cde0000,0x10000,65536,f9647382b7541bdb872aa0cd6a9223a17f3abddc5ac906171ccae306d18a4502,0,0,0,22809,3.1618,00000000000000000000000000000000,2048,4096,0
../../../dumps\crash-20260820-021637\SUPERVIVE-Win64-Shipping.exec_0x2B1C2950000_10000.bin,crash-20260820-021637,0x2b1c2950000,0x10000,65536,9bbd837a491dd55130402bbe0e0100e80d9d98eeaa769eeb55929ab747dc3973,0,0,0,28560,3.7536,00000000000000000000000000000000,2048,4096,0
../../../dumps\crash-20260820-021637\SUPERVIVE-Win64-Shipping.exec_0x2B21DDE0000_1000.bin,crash-20260820-021637,0x2b21dde0000,0x1000,4096,5d174c9ff066ffcb19b1ed6cb9d7960a6f5f4dd191aa97c977227aea5936d076,0,0,0,68,0.1964,48b90020fb1db202000048ba7d010000,2012,4096,0
../../../dumps\crash-20260820-021637\SUPERVIVE-Win64-Shipping.exec_0x2B21DF90000_25000.bin,crash-20260820-021637,0x2b21df90000,0x25000,151552,579d6205b1f51bb8d4dc3ea25f1f4dac25a16c03980d6af600d1165bc505def0,1,1,0,103657,6.2640,4d5a90000300000004000000ffff0000,6,12,4084
../../../dumps\crash-20260820-021637\SUPERVIVE-Win64-Shipping.exec_0x2B223960000_1000.bin,crash-20260820-021637,0x2b223960000,0x1000,4096,a63e8897696d0531970887f8fb580c3223e5b5c3a9f4fc7c7800c2d782f8d3a4,0,0,0,68,0.1964,48b90090c923b202000048ba96010000,2012,4096,0
../../../dumps\crash-20260820-021637\SUPERVIVE-Win64-Shipping.exec_0x2B223C70000_2C000.bin,crash-20260820-021637,0x2b223c70000,0x2c000,180224,9c2458570d5827a67576a62305972712d0649f342af8e3a4ee47b7f7c0b9a05c,1,1,0,122642,6.1828,4d5a90000300000004000000ffff0000,6,12,4084
../../../dumps\crash-20260820-021637\SUPERVIVE-Win64-Shipping.exec_0x7FF630E80000_1000.bin,crash-20260820-021637,0x7ff630e80000,0x1000,4096,28667753c18d17c1befca84f1fedf33f90073e00600354e6256b22023e72eafb,0,0,0,47,0.1464,48895c2408e99b543501000000000000,2037,4096,0
../../../dumps\crash-20260820-021637\SUPERVIVE-Win64-Shipping.exec_0x7FFB52FE0000_1000.bin,crash-20260820-021637,0x7ffb52fe0000,0x1000,4096,6a3476d5687d802aa576d4c4d1f31b64b7b60c2c10359879fc8afabb01d968ec,0,0,0,543,1.3259,4883ec48498bc1e99b10edffff250000,4,18,4078
../../../dumps\crash-20260820-021637\SUPERVIVE-Win64-Shipping.exec_0x7FFB54900000_F000.bin,crash-20260820-021637,0x7ffb54900000,0xf000,61440,120b135d81fe0980efbd8a1b1eb569fc037de2491abe13055357fb2409ed3780,0,0,0,1212,0.2576,40555357488bece90bda2200ff250000,6,18,4078
