[0] catalog_purchasable_fix worker started
[hb] catMgr=0x1CC7CC3E080 iters=4336 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4353 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4370 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4387 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4404 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4421 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4438 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4455 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4472 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4489 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4506 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4523 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4540 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4557 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4574 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4591 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4608 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4625 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4642 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4659 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4676 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4693 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4710 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4727 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4744 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4761 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4778 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4795 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4812 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4829 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4846 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4863 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4880 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4897 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4914 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4931 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4948 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4965 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4982 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=4999 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5016 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5033 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5050 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5067 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5084 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5101 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5118 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5135 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5152 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5169 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5186 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5203 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5220 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5237 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5254 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5271 lastPoked=1355
[hb] catMgr=0x1CC7CC3E080 iters=5288 lastPoked=1355
