rva,section,recorded_name,proposed_name,proposed_class,confidence,verdict,name_check,fn_entry,fn_offset,fn_tier,fn_extent,n_strings,evidence,why,record_kind,n_sources,sources,recorded_alts,sample_context
0x0431EF1,.text,DA_MissionPoolDailyChallenge_Planbee,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0431000 is all-zero in this dump (never decrypted),bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [ 3/16] calling AddDynamicAsset for DA_MissionPoolDailyChallenge_Planbee (id-Name=0x003558A4 pkg=0x00431EF1 cls=0x004E8B18)
0x043AC18,.text,,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x043A000 is all-zero in this dump (never decrypted),bare,1,docs/catalog-probe-marker.txt,,[dump]  [8] key.Type=0x1A568 key.Name=0x43AC18 val=0x210616DC400 [val+0xc]=0x280031
0x04421AA,.text,DA_MissionPoolDailyPCB,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0442000 is all-zero in this dump (never decrypted),bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [ 6/16] calling AddDynamicAsset for DA_MissionPoolDailyPCB (id-Name=0x0056BBFA pkg=0x004421AA cls=0x002CB3A9)
0x047678A,.text,WBP_UI_MissionModalCategory_C,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0476000 is all-zero in this dump (never decrypted),bare,5,docs/lokiassetmanager-vtable-dump.md;git-log;memory/supervive-hero-roster-blocker.md,NamePrivate;UFunction,verified by reverse-looking up the Outer's NamePrivate FName id (0x0047678A
0x047A890,.text,,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x047A000 is all-zero in this dump (never decrypted),bare,1,docs/lokiassetmanager-vtable-dump.md,,constexpr uint32 kName_DA_MissionPoolHunterMissions           = 0x0047A890;
0x0480D9F,.text,DA_MissionPoolOnboardingPlanbee,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0480000 is all-zero in this dump (never decrypted),bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [10/16] calling AddDynamicAsset for DA_MissionPoolOnboardingPlanbee (id-Name=0x001FF4AF pkg=0x00268443 cls=0x00480D9F)
0x0485FA0,.text,DA_MissionPoolHunterMissions,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0485000 is all-zero in this dump (never decrypted),bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [ 8/16] calling AddDynamicAsset for DA_MissionPoolHunterMissions (id-Name=0x00485FA0 pkg=0x002826AC cls=0x0025D3BE)
0x0498180,.text,,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x0498000 is all-zero in this dump (never decrypted),bare,1,docs/catalog-probe-marker.txt,,[dump]  [2] key.Type=0x1A568 key.Name=0x498180 val=0x210616DBDC0 [val+0xc]=0x280031
0x049CBDC,.text,,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x049C000 is all-zero in this dump (never decrypted),bare,1,docs/scan-on-browse-marker.txt,,[scan] type_fname=0x49CBDC -> added=57
0x049CF7F,.text,,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x049C000 is all-zero in this dump (never decrypted),bare,1,docs/scan-shim-marker.txt,,[apc] scan type_fname=0x49CF7F base=0x1A31F168080 -> added=57
0x049FAAC,.text,DA_MissionPoolDailyEasy_Planbee,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x049F000 is all-zero in this dump (never decrypted),bare,2,docs/registration-shim-marker.txt;tools/sigbypass-mod/registration_shim.cpp,,[apc] [ 5/16] calling AddDynamicAsset for DA_MissionPoolDailyEasy_Planbee (id-Name=0x0006EC93 pkg=0x001322F6 cls=0x0049FAAC)
0x04A410E,.text,,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x04A4000 is all-zero in this dump (never decrypted),bare,1,docs/lokiassetmanager-vtable-dump.md,,constexpr uint32 kName_DA_MissionPoolArmoryOnboarding         = 0x004A410E;
0x04AF6C3,.text,DA_MissionPoolArmoryOnboarding,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x04AF000 is all-zero in this dump (never decrypted),bare,4,docs/lokiassetmanager-vtable-dump.md;docs/registration-shim-marker.txt;git-log;tools/sigbypass-mod/registration_shim.cpp,AssetMap,0x16AFC503620) shows our new FName 0x004AF6C3 (= current
0x04BC63C,.text,,,,,UNVERIFIABLE,n/a,,,,,0,,page 0x04BC000 is all-zero in this dump (never decrypted),bare,1,docs/catalog-probe-marker.txt,,[dump]  [3] key.Type=0x1A568 key.Name=0x4BC63C val=0x210616DC040 [val+0xc]=0x280031
