"label","arm","outcome","died_after_arm_s","hold_s","probe","probe_text_sha","game_pid","aslr_base","launch_utc","arm_utc","end_utc","map_load_line","stage_exit","armed","probe_receipt","gft_records","exit_code","fo_dll","new_uecc","new_crashpad","note"
"s112c-ctl-18","control","VOID_ARM","","330","tutorial_launch_play.dll","433cf7d8f6a0770f","","0x7FF6505C0000","2026-08-07T22:33:42.9852218Z","2026-08-07T22:37:34.3390619Z","2026-08-07T22:39:43.0064902Z","","1/att1","no","STALE-no-truncate","103->104","","tutorial_launch_fo.dll","","yes","no [PL] init complete within 120s -- shim never armed"
"s112c-ctl-19","control","DIED","64","330","tutorial_launch_play.dll","433cf7d8f6a0770f","4968","0x7FF6505C0000","2026-08-07T22:39:48.0916104Z","2026-08-07T22:43:13.9090501Z","2026-08-07T22:44:35.4229128Z","","0/att1","yes","truncated-ok","104->105","0xC0000005","tutorial_launch_fo.dll","","yes",""
"s112c-trt-20","treatment","SURVIVED","331","330","tutorial_launch_play_funcswap.dll","badecc840bafee84","51488","0x7FF6505C0000","2026-08-07T22:44:40.5777309Z","2026-08-07T22:48:06.4653562Z","2026-08-07T22:53:47.1626500Z","","0/att1","yes","truncated-ok","105->106","","tutorial_launch_fo.dll","","no",""
"s112c-ctl-21","control","DIED","115","330","tutorial_launch_play.dll","433cf7d8f6a0770f","14160","0x7FF6505C0000","2026-08-07T22:53:52.8639754Z","2026-08-07T23:01:38.7722206Z","2026-08-07T23:03:51.6012586Z","","0/att2","yes","truncated-ok","106->108","0xC0000005","tutorial_launch_fo.dll","","yes",""
"s112c-trt-22","treatment","SURVIVED","331","330","tutorial_launch_play_funcswap.dll","badecc840bafee84","46916","0x7FF6505C0000","2026-08-07T23:03:56.6611968Z","2026-08-07T23:07:03.5495462Z","2026-08-07T23:12:43.7112308Z","","0/att1","yes","truncated-ok","108->109","","tutorial_launch_fo.dll","","no",""
"s112c-ctl-23","control","DIED","80","330","tutorial_launch_play.dll","433cf7d8f6a0770f","49200","0x7FF6505C0000","2026-08-07T23:12:48.9101400Z","2026-08-07T23:15:54.5581473Z","2026-08-07T23:17:32.3013741Z","","0/att1","yes","truncated-ok","109->110","0xC0000005","tutorial_launch_fo.dll","","yes",""
"s112c-trt-24","treatment","SURVIVED","331","330","tutorial_launch_play_funcswap.dll","badecc840bafee84","38644","0x7FF6505C0000","2026-08-07T23:17:37.3801558Z","2026-08-07T23:21:24.4585481Z","2026-08-07T23:27:05.4295580Z","","0/att1","yes","truncated-ok","110->111","","tutorial_launch_fo.dll","","no",""
"s112c-ctl-25","control","DIED","123","330","tutorial_launch_play.dll","433cf7d8f6a0770f","54956","0x7FF6505C0000","2026-08-07T23:27:14.0668953Z","2026-08-07T23:31:51.5452673Z","2026-08-07T23:34:12.1483422Z","","0/att1","yes","truncated-ok","111->112","0xC0000005","tutorial_launch_fo.dll","","yes",""
"s112c-trt-26","treatment","SURVIVED","331","330","tutorial_launch_play_funcswap.dll","badecc840bafee84","33424","0x7FF6505C0000","2026-08-07T23:34:17.3485667Z","2026-08-07T23:37:42.9515287Z","2026-08-07T23:43:22.5778007Z","","0/att1","yes","truncated-ok","112->113","","tutorial_launch_fo.dll","","no",""
"s112c-ctl-27","control","DIED","114","330","tutorial_launch_play.dll","433cf7d8f6a0770f","31668","0x7FF6505C0000","2026-08-07T23:43:27.9166497Z","2026-08-07T23:46:43.8833877Z","2026-08-07T23:48:56.3097239Z","","0/att1","yes","truncated-ok","113->114","0xC0000005","tutorial_launch_fo.dll","","yes",""
