t_sec,t_wall,LocX,LocY,LocZ,VelX,VelY,VelZ,AccX,AccY,AccZ,CIV1x,CIV1y,CIV1z,CIV2x,CIV2y,CIV2z,CIV3x,CIV3y,CIV3z,CIVmaxMag2D,Mode,GravScale,AnalogMod,AirCtl,AirCtlBoost,AirCtlThr,FallLatFr
8.288,1788986295.621,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
8.390,1788986295.723,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
8.504,1788986295.837,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
8.606,1788986295.940,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
8.709,1788986296.042,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
8.821,1788986296.154,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
8.923,1788986296.257,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
9.037,1788986296.370,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
9.140,1788986296.473,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
9.262,1788986296.595,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
9.364,1788986296.698,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
9.487,1788986296.820,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
9.590,1788986296.923,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
9.692,1788986297.025,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
9.811,1788986297.145,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
9.915,1788986297.248,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
10.017,1788986297.351,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
10.120,1788986297.453,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
10.245,1788986297.578,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
10.348,1788986297.681,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
10.470,1788986297.804,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
10.573,1788986297.906,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
10.676,1788986298.009,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
10.795,1788986298.128,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
10.897,1788986298.231,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
11.000,1788986298.334,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
11.103,1788986298.437,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
11.206,1788986298.539,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
11.308,1788986298.641,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
11.411,1788986298.745,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
11.515,1788986298.848,0.000,0.000,13240.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,3,0.0000,0.0000,0.0150,2.0000,25.0000,0.3750
