t_sec,t_wall,LocX,LocY,LocZ,VelX,VelY,VelZ,Vel2D,AccX,AccY,AccZ,Acc2D,CIVmaxMag2D,Mode,GravScale,AnalogMod,TSFS,Gate,Living,F08,RandX,RandY
200.702,1788986944.948,2522.213,-1007.934,-11688.523,0.056,-0.029,-1000.000,0.063,-18129.380,46597.485,0.000,50000.0,1.0000,3,1.0000,1.0000,11.9057,1,1,0x200265E1710,-0.363,0.932
200.806,1788986945.052,2522.219,-1007.937,-11793.056,0.052,-0.027,-1000.000,0.058,-18129.380,46597.485,0.000,50000.0,1.0000,3,1.0000,1.0000,12.0099,1,1,0x200265E1710,-0.363,0.932
200.908,1788986945.155,2522.224,-1007.939,-11894.459,0.048,-0.025,-1000.000,0.054,-18129.380,46597.485,0.000,50000.0,1.0000,3,1.0000,1.0000,12.1117,1,1,0x200265E1710,-0.363,0.932
201.024,1788986945.270,2522.229,-1007.942,-12013.682,0.044,-0.023,-1000.000,0.049,-18129.380,46597.485,0.000,50000.0,1.0000,3,1.0000,1.0000,12.2298,1,1,0x200265E1710,-0.363,0.932
201.127,1788986945.373,2522.234,-1007.944,-12114.524,0.041,-0.021,-1000.000,0.046,-18129.380,46597.485,0.000,50000.0,1.0000,3,1.0000,1.0000,12.3306,1,1,0x200265E1710,-0.363,0.932
201.230,1788986945.476,2522.238,-1007.947,-12218.760,0.038,-0.019,-1000.000,0.042,-18129.380,46597.485,0.000,50000.0,1.0000,3,1.0000,1.0000,12.4342,1,1,0x200265E1710,-0.363,0.932
201.342,1788986945.588,2522.242,-1007.949,-12333.516,0.035,-0.018,-1000.000,0.039,-18129.380,46597.485,0.000,50000.0,1.0000,3,1.0000,1.0000,12.5444,1,1,0x200265E1710,-0.363,0.932
201.458,1788986945.704,2522.246,-1007.951,-12448.071,0.032,-0.016,-1000.000,0.036,47809.857,-14636.173,0.000,50000.0,1.0000,3,1.0000,1.0000,12.6635,1,1,0x200265E1710,0.956,-0.293
201.561,1788986945.807,2522.249,-1007.952,-12552.928,0.029,-0.015,-1000.000,0.033,47809.857,-14636.173,0.000,50000.0,1.0000,3,1.0000,1.0000,12.7673,1,1,0x200265E1710,0.956,-0.293
201.664,1788986945.911,2522.251,-1007.953,-12654.077,0.000,0.000,-1000.000,0.000,47809.857,-14636.173,0.000,50000.0,1.0000,3,1.0000,1.0000,12.8681,1,1,0x200265E1710,0.956,-0.293
201.774,1788986946.020,2522.251,-1007.953,-12767.085,0.000,0.000,-1000.000,0.000,47809.857,-14636.173,0.000,50000.0,1.0000,3,1.0000,1.0000,12.9808,1,1,0x200265E1710,0.956,-0.293
201.891,1788986946.137,2522.251,-1007.953,-12884.269,0.000,0.000,-1000.000,0.000,47809.857,-14636.173,0.000,50000.0,1.0000,3,1.0000,1.0000,13.0934,1,1,0x200265E1710,0.956,-0.293
201.999,1788986946.245,2522.251,-1007.953,-12990.838,0.000,0.000,-1000.000,0.000,47809.857,-14636.173,0.000,50000.0,1.0000,3,1.0000,1.0000,13.1996,1,1,0x200265E1710,0.956,-0.293
202.103,1788986946.349,2522.251,-1007.953,-13095.444,0.000,0.000,-1000.000,0.000,47809.857,-14636.173,0.000,50000.0,1.0000,3,1.0000,1.0000,13.3080,1,1,0x200265E1710,0.956,-0.293
202.206,1788986946.451,2522.251,-1007.953,-13194.359,0.000,0.000,-1000.000,0.000,47809.857,-14636.173,0.000,50000.0,1.0000,3,1.0000,1.0000,13.4077,1,1,0x200265E1710,0.956,-0.293
202.324,1788986946.570,2522.251,-1007.953,-13317.841,0.000,0.000,-1000.000,0.000,47809.857,-14636.173,0.000,50000.0,1.0000,3,1.0000,1.0000,13.5297,1,1,0x200265E1710,0.956,-0.293
202.432,1788986946.677,2522.251,-1007.953,-13427.056,0.000,0.000,-1000.000,0.000,47809.857,-14636.173,0.000,50000.0,1.0000,3,1.0000,1.0000,13.6344,1,1,0x200265E1710,0.956,-0.293
202.535,1788986946.781,2522.251,-1007.953,-13524.131,0.000,0.000,-1000.000,0.000,47809.857,-14636.173,0.000,50000.0,1.0000,3,1.0000,1.0000,13.7407,1,1,0x200265E1710,0.956,-0.293
202.637,1788986946.883,2522.251,-1007.953,-13632.883,0.000,0.000,-1000.000,0.000,47809.857,-14636.173,0.000,50000.0,1.0000,3,1.0000,1.0000,13.8395,1,1,0x200265E1710,0.956,-0.293
